数据ID,类别,评论内容,属性,情感标签
TRAIN_69468,图书音像,内容不错很值得看思考中医但书的质量不是很好,内容,1
TRAIN_51590,美妆个护,秋天皮肤很干连头皮也是。 用了这个以后真的很有效果白屑不见了。,效果,1
TRAIN_4061,图书音像,本身故事很多英文读着很不错,内容,1
TRAIN_8634,图书音像,不能承受的生命之轻值得期待的一本书正在看印刷的质量没得说很满意。,印刷,1
TRAIN_46316,图书音像,只因为那晚忽然怀念阿拉蕾就起了收藏的念头…… 18本单独包装全部有塑封袋开本比小时候看的版本要大很多是32开本的另外外面还有单独黄色小袋包装很好的感觉收藏很方便…… 书的纸张也还行价格也非常公道了毕竟是鸟山明老师的作品绝对值了要说唯一能挑的地方就是觉得这一套书封面上的“阿拉蕾”LOGO颜色太难看了不如直接黑体……不过就原谅中国少儿出版社了能引进我就该笑了…… 想买的人绝对可以入手哦,外观,1
TRAIN_46316,图书音像,只因为那晚忽然怀念阿拉蕾就起了收藏的念头…… 18本单独包装全部有塑封袋开本比小时候看的版本要大很多是32开本的另外外面还有单独黄色小袋包装很好的感觉收藏很方便…… 书的纸张也还行价格也非常公道了毕竟是鸟山明老师的作品绝对值了要说唯一能挑的地方就是觉得这一套书封面上的“阿拉蕾”LOGO颜色太难看了不如直接黑体……不过就原谅中国少儿出版社了能引进我就该笑了…… 想买的人绝对可以入手哦,纸张,1
TRAIN_46316,图书音像,只因为那晚忽然怀念阿拉蕾就起了收藏的念头…… 18本单独包装全部有塑封袋开本比小时候看的版本要大很多是32开本的另外外面还有单独黄色小袋包装很好的感觉收藏很方便…… 书的纸张也还行价格也非常公道了毕竟是鸟山明老师的作品绝对值了要说唯一能挑的地方就是觉得这一套书封面上的“阿拉蕾”LOGO颜色太难看了不如直接黑体……不过就原谅中国少儿出版社了能引进我就该笑了…… 想买的人绝对可以入手哦,封面,0
TRAIN_26485,图书音像,为了颜东买的这本。很喜欢装帧简约大方图片清晰散文什么的也都很细腻。,封面,1
TRAIN_26485,图书音像,为了颜东买的这本。很喜欢装帧简约大方图片清晰散文什么的也都很细腻。,插图,1
TRAIN_25912,图书音像,画面很漂亮故事情节也很生动。值得推荐的一套书。孩子挺喜欢。,外观,1
TRAIN_25912,图书音像,画面很漂亮故事情节也很生动。值得推荐的一套书。孩子挺喜欢。,内容,1
TRAIN_45969,图书音像,六折的时候掂量买不买。 因为已经有英文本了所以总想等等看。 结果过几天就贵了。 现在只好观望了因为 只要曾经便宜过 就很难买贵的。 哎有点后悔呵呵。,价格,0
TRAIN_66545,电脑/办公,按键清脆画图很要用使用几天后感觉很不错给好评之前用了3个罗技几个月后都双击。希望这款鼠标能够用的久一点,键盘,1
TRAIN_48390,家用电器,收货时不能试开关是否OK也不能插上电源验货那快递员跟我说只能看外观这样的验货制度买家电产品让人很不放心产品是否是OK的。,安全,0
TRAIN_16121,手机/数码,看中了接近微单的体积和重量便携性好。手拿的地方时粗纹皮质比较好稳定触屏操控也不错。入门小菜鸟相机性能还在熟悉和摸索中暂未发现不好的地方。包装完好。需要自己配存储卡。唯一的缺点是配送的全峰有点次了最后是自己打电话去提醒要送货的不催估计都要忘了。。。建议改善,包装,1
TRAIN_16121,手机/数码,看中了接近微单的体积和重量便携性好。手拿的地方时粗纹皮质比较好稳定触屏操控也不错。入门小菜鸟相机性能还在熟悉和摸索中暂未发现不好的地方。包装完好。需要自己配存储卡。唯一的缺点是配送的全峰有点次了最后是自己打电话去提醒要送货的不催估计都要忘了。。。建议改善,相机,1
TRAIN_16121,手机/数码,看中了接近微单的体积和重量便携性好。手拿的地方时粗纹皮质比较好稳定触屏操控也不错。入门小菜鸟相机性能还在熟悉和摸索中暂未发现不好的地方。包装完好。需要自己配存储卡。唯一的缺点是配送的全峰有点次了最后是自己打电话去提醒要送货的不催估计都要忘了。。。建议改善,内存,0
TRAIN_50511,图书音像,商品可以书价格便宜内容丰富。,价格,1
TRAIN_50511,图书音像,商品可以书价格便宜内容丰富。,内容,1
TRAIN_68331,图书音像,还是纸张看着比较方便,纸张,1
TRAIN_982,图书音像,不错按着周背挺好看的,外观,1
TRAIN_14333,鞋类箱包,这包性价比高 但面料较硬 整体来说还是很不错的选择,价格,1
TRAIN_14333,鞋类箱包,这包性价比高 但面料较硬 整体来说还是很不错的选择,材质,0
TRAIN_65495,图书音像,内容不错挺喜欢的,内容,1
TRAIN_38983,图书音像,值得一提的是这书的插图真是太可爱了,插图,1
TRAIN_13267,电脑/办公,写入的速度慢的吓人送货还算及时我是无锡的。建议大家不要买,速度,0
TRAIN_48769,家用电器,外观美画面清晰色彩鲜艳价格也很好。配送也很快。就是付款环节有待改进网上银行支付流程落后。,外观,1
TRAIN_67663,图书音像,不错质量挺便宜的卓越买书时挺好的,价格,1
TRAIN_31221,图书音像,内容很详细条理很清楚,内容,1
TRAIN_34182,图书音像,丹·希尔是美国人吗出版社不会出这么大问题吧不管英国美国内容才是真正吸引人的,内容,1
TRAIN_43138,图书音像,此书所选论文还凑合但是质量一般字迹清楚但整个书都印斜了。买的时候就是觉得如果下载论文打印的话价格也差不多不如直接买本书了所以才买的。感觉此书没有任何收藏价值用完就可以糊墙。,质量,0
TRAIN_43138,图书音像,此书所选论文还凑合但是质量一般字迹清楚但整个书都印斜了。买的时候就是觉得如果下载论文打印的话价格也差不多不如直接买本书了所以才买的。感觉此书没有任何收藏价值用完就可以糊墙。,印刷,0
TRAIN_22823,电脑/办公,外形漂亮质量还可以覆盖半径大概7米左右穿墙的信号不是很好,外观,1
TRAIN_22823,电脑/办公,外形漂亮质量还可以覆盖半径大概7米左右穿墙的信号不是很好,信号,0
TRAIN_17156,图书音像,内容非常好尤其是看着季老认真、细致的笔记更令人由衷的钦佩,内容,1
TRAIN_31480,家居生活,发货快质量应该不错,物流,1
TRAIN_45984,图书音像,虽然书的装帧简单了点但不影响质量内容很美字大小合适推荐给孩子们,内容,1
TRAIN_45984,图书音像,虽然书的装帧简单了点但不影响质量内容很美字大小合适推荐给孩子们,封面,1
TRAIN_31465,图书音像,印刷很好是大本印刷。有步骤浅到深的作品学习。有技法。不错还有学生获奖作品可以做参考非常完美很喜欢,印刷,1
TRAIN_57888,美妆个护,没有什么味道质地比较轻柔涂抹到脸上不油腻也比较容易吸收.我该用此产品后没有比以前黑但是至于防晒效果我不敢担保因为我还有涂其他隔离产品和其他防晒用品并尽量避开阳光的.,香味,1
TRAIN_57888,美妆个护,没有什么味道质地比较轻柔涂抹到脸上不油腻也比较容易吸收.我该用此产品后没有比以前黑但是至于防晒效果我不敢担保因为我还有涂其他隔离产品和其他防晒用品并尽量避开阳光的.,质地,1
TRAIN_57888,美妆个护,没有什么味道质地比较轻柔涂抹到脸上不油腻也比较容易吸收.我该用此产品后没有比以前黑但是至于防晒效果我不敢担保因为我还有涂其他隔离产品和其他防晒用品并尽量避开阳光的.,吸收,1
TRAIN_57888,美妆个护,没有什么味道质地比较轻柔涂抹到脸上不油腻也比较容易吸收.我该用此产品后没有比以前黑但是至于防晒效果我不敢担保因为我还有涂其他隔离产品和其他防晒用品并尽量避开阳光的.,滋润,1
TRAIN_57888,美妆个护,没有什么味道质地比较轻柔涂抹到脸上不油腻也比较容易吸收.我该用此产品后没有比以前黑但是至于防晒效果我不敢担保因为我还有涂其他隔离产品和其他防晒用品并尽量避开阳光的.,效果,0
TRAIN_17521,电脑/办公,高速的。相对较实惠。,价格,1
TRAIN_38428,美妆个护,洗完后脸是紧绷的一点也不温和。而且有时不小心渗入眼睛立刻会有刺痛感可见其刺激性。上面很大的“AQUA”的logo但是效果刚刚相反用后我鼻子拼命的起皮、掉皮。,温和,0
TRAIN_38428,美妆个护,洗完后脸是紧绷的一点也不温和。而且有时不小心渗入眼睛立刻会有刺痛感可见其刺激性。上面很大的“AQUA”的logo但是效果刚刚相反用后我鼻子拼命的起皮、掉皮。,效果,0
TRAIN_24853,图书音像,在新华书店看到过这系列的书这次网购一本主要是凑单用。大概翻了翻正文前面的序言部分偶数页上半部有部分字印刷质量不太好感觉不像正版正文开始后的印刷质量还行。,印刷,0
TRAIN_24853,图书音像,在新华书店看到过这系列的书这次网购一本主要是凑单用。大概翻了翻正文前面的序言部分偶数页上半部有部分字印刷质量不太好感觉不像正版正文开始后的印刷质量还行。,正版,0
TRAIN_49160,家用电器,刚开始使用时向大家所说会有一股橡胶味道但是用一两次就好了 总体这个价位买到还蛮值的,功能,1
TRAIN_41835,钟表/首饰/眼镜/礼品,颜色不好看整体还行。,颜色,0
TRAIN_41835,钟表/首饰/眼镜/礼品,颜色不好看整体还行。,外观,1
TRAIN_23647,电脑/办公,还没有用表面上看不出特别之处希望好用。价格太贵。,价格,0
TRAIN_7250,图书音像,11.4元很值。硬封面纸张也不错字体有人说有点小我觉得正合适,纸张,1
TRAIN_7250,图书音像,11.4元很值。硬封面纸张也不错字体有人说有点小我觉得正合适,封面,1
TRAIN_7250,图书音像,11.4元很值。硬封面纸张也不错字体有人说有点小我觉得正合适,排版,1
TRAIN_54356,图书音像,内容就不用说了是很经典。直接上正文缺少作者介绍丛书说明啊什么的。书皮配得很合适。,内容,1
TRAIN_68683,图书音像,里面的内容都很详细跟我以前买的书一样好评全五分下次买书还来这家哦,内容,1
TRAIN_2300,图书音像,书很好是正版不好意思评价晚了,正版,1
TRAIN_67800,图书音像,之所以觉得这本书内容不错是因为书中主要告诉一线的同事应该如何去做这在其他的同类图书中是很少见的推荐给大家,内容,1
TRAIN_45090,图书音像,看起来还不错就是字体有些小但是很轻便容易携带,排版,0
TRAIN_38288,电脑/办公,我很喜欢小巧手感很好很灵活。,便携,1
TRAIN_58736,图书音像,书刚到手纸的质量还不错分析源代码的书应该对研究spring源码很有帮助。,纸张,1
TRAIN_43129,图书音像,怀疑盗版质量太差。,质量,0
TRAIN_43129,图书音像,怀疑盗版质量太差。,正版,0
TRAIN_4774,图书音像,超精美啊而且很漂亮价格更是超赞,包装,1
TRAIN_4774,图书音像,超精美啊而且很漂亮价格更是超赞,外观,1
TRAIN_30389,家用电器,做工小巧精致容器清洗还比较方便。第一次做用了6个小时还比较黏稠奶白奶白的微微有点酸加个点蜂蜜调味酸中带甜口感确实不错物超所值啊,清洁,1
TRAIN_17822,图书音像,发货很快但内容不是很好素材图片好难打开烦,物流,1
TRAIN_17822,图书音像,发货很快但内容不是很好素材图片好难打开烦,内容,0
TRAIN_17822,图书音像,发货很快但内容不是很好素材图片好难打开烦,插图,0
TRAIN_30936,图书音像,多是争座位上面的字集了之后不太好看不过书的质量还是不错,外观,0
TRAIN_45728,图书音像,本书完全被翻译给糟蹋了.译者的汉语水平都没有过关出版社审稿和编辑水平真不敢恭维.浪费钱是小事印刷垃圾对环境的破坏不能容忍.,印刷,0
TRAIN_22317,图书音像,书的内容很好讲解很详细。但CD无法打开看不到示例文件。,内容,1
TRAIN_29323,电脑/办公,略卡把原机自带那个“麦当劳”删了安了个诺顿还是有点卡然后把ASUS自带的软件删了很多结果还是后台安东西上着qq就卡的打不开chrome了。是不是由于metro界面后台太占资源总体来说触摸屏不错很方便机器本身的确便携性良好适合日常办公上网。,系统,0
TRAIN_29323,电脑/办公,略卡把原机自带那个“麦当劳”删了安了个诺顿还是有点卡然后把ASUS自带的软件删了很多结果还是后台安东西上着qq就卡的打不开chrome了。是不是由于metro界面后台太占资源总体来说触摸屏不错很方便机器本身的确便携性良好适合日常办公上网。,便携,1
TRAIN_62351,图书音像,内容还没看不过书装帧纸张都很好。很新没有什么污垢。,纸张,1
TRAIN_62351,图书音像,内容还没看不过书装帧纸张都很好。很新没有什么污垢。,封面,1
TRAIN_28046,图书音像,书的内容深入浅出一打开就爱不释手很喜欢大约一个晚上就能读完后来借给同事看反映也很不错。总之让我这个对心理学一窍不通的人也能看懂非常不错,内容,1
TRAIN_38505,手机/数码,优点 1系统属于比较纯净没有装什么垃圾软件除了谷歌系统其它的软件都可以删除。由于软件少所以运行很流畅 2待机时间打了半个小时电话挂了半天QQ待机2天50小时左右 3拍照虽只有500晚还是比较清晰只要要求不是太高的话 4联通3G视频通话比较清晰流畅 缺点 1闪光灯强度比其它品牌都弱很多 2屏幕感觉不如三星摩托等清晰 3内存只有512太小不玩游戏只是日常使用也足够通常显示可运行内存在300左右 44G的储存空间只剩下2.08G左右差不多够用,系统,1
TRAIN_38505,手机/数码,优点 1系统属于比较纯净没有装什么垃圾软件除了谷歌系统其它的软件都可以删除。由于软件少所以运行很流畅 2待机时间打了半个小时电话挂了半天QQ待机2天50小时左右 3拍照虽只有500晚还是比较清晰只要要求不是太高的话 4联通3G视频通话比较清晰流畅 缺点 1闪光灯强度比其它品牌都弱很多 2屏幕感觉不如三星摩托等清晰 3内存只有512太小不玩游戏只是日常使用也足够通常显示可运行内存在300左右 44G的储存空间只剩下2.08G左右差不多够用,电池,1
TRAIN_38505,手机/数码,优点 1系统属于比较纯净没有装什么垃圾软件除了谷歌系统其它的软件都可以删除。由于软件少所以运行很流畅 2待机时间打了半个小时电话挂了半天QQ待机2天50小时左右 3拍照虽只有500晚还是比较清晰只要要求不是太高的话 4联通3G视频通话比较清晰流畅 缺点 1闪光灯强度比其它品牌都弱很多 2屏幕感觉不如三星摩托等清晰 3内存只有512太小不玩游戏只是日常使用也足够通常显示可运行内存在300左右 44G的储存空间只剩下2.08G左右差不多够用,相机,1
TRAIN_38505,手机/数码,优点 1系统属于比较纯净没有装什么垃圾软件除了谷歌系统其它的软件都可以删除。由于软件少所以运行很流畅 2待机时间打了半个小时电话挂了半天QQ待机2天50小时左右 3拍照虽只有500晚还是比较清晰只要要求不是太高的话 4联通3G视频通话比较清晰流畅 缺点 1闪光灯强度比其它品牌都弱很多 2屏幕感觉不如三星摩托等清晰 3内存只有512太小不玩游戏只是日常使用也足够通常显示可运行内存在300左右 44G的储存空间只剩下2.08G左右差不多够用,屏幕,0
TRAIN_38505,手机/数码,优点 1系统属于比较纯净没有装什么垃圾软件除了谷歌系统其它的软件都可以删除。由于软件少所以运行很流畅 2待机时间打了半个小时电话挂了半天QQ待机2天50小时左右 3拍照虽只有500晚还是比较清晰只要要求不是太高的话 4联通3G视频通话比较清晰流畅 缺点 1闪光灯强度比其它品牌都弱很多 2屏幕感觉不如三星摩托等清晰 3内存只有512太小不玩游戏只是日常使用也足够通常显示可运行内存在300左右 44G的储存空间只剩下2.08G左右差不多够用,内存,0
TRAIN_38225,电脑/办公,东西很漂亮非常好看很朝的,外观,1
