数据ID,类别,评论内容,属性,情感标签
TRAIN_0,美妆个护,刚到 刚刚收到2天我晕一般快递最快到我们这要3天呢赞个 包装台简单了说明书看不懂。 瓶子半透明。 问了官方说卓越也是他们的合作伙伴正品放心。,其他,1
TRAIN_1,图书音像,很好的一本书 不过这本书没有赠送什么代金券。体现不出以前的正版图书送网站学习代金券的特点。,其他,1
TRAIN_2,手机/数码,二手手机 很负责任的说一句亚马逊给我发过来的手机绝对是二手的,其他,0
TRAIN_3,图书音像,送的光盘不行 这本书内容很好就是送的光盘不行。这次重新订购了一套期望发过来的光盘能用,内容,1
TRAIN_4,图书音像,很实用 很实用的一本书非常喜欢,其他,1
TRAIN_5,图书音像,关于书籍的包装 书籍本身没有问题货物的包装实在不敢恭维。不知出于何种考虑先前的纸盒包装现在换成了塑料袋拍下的两本精装书拿到手居然卷了边超级郁闷。以此种方式来降低成本实在不足取。省下的只是仨瓜俩枣失去的却是人们的信任。,其他,1
TRAIN_6,图书音像,挺好的 包装很好内容也不错,内容,1
TRAIN_7,图书音像,便宜点最好了 希望能尽快便宜一些,价格,1
TRAIN_8,图书音像,物流 包装 一如既往 对于自主游玩川渝还是很有帮助的,其他,1
TRAIN_9,图书音像,需要细细品味和琢磨的一本书 教育就是解放心灵获得自由,其他,1
TRAIN_10,图书音像,非常不错 从基础入手浅显易懂,其他,1
TRAIN_11,图书音像,不好。 薄薄的一本什么都没有看到实物绝对不买。,其他,0
TRAIN_12,图书音像,这本是配套练习。 书应该和配套教材搭起来卖就好了。配套的光盘在教材的那本书里。不过书本身的质量很不错。,其他,1
TRAIN_13,图书音像,许飞的声音——26度超舒服 许飞的声音——26度超舒服 虽然只有五首歌但首首是精品。 超五星EP,其他,1
TRAIN_14,图书音像,挺好的 把它送给外甥女希望喜欢,其他,1
TRAIN_15,图书音像,不行的 都很想退货了 书的内容蛮无趣不如盗墓笔不说 错字看的人头疼不可能是正版吧记,其他,0
TRAIN_16,图书音像,书有瑕疵 书还不错唯一的缺陷就是书页胶粘的不好掉页情况严重。希望以后可以改进。,其他,1
TRAIN_17,图书音像,东西不错 印刷不错只是原来以为里面会附上英文版的。,印刷,1
TRAIN_18,美妆个护,笔头坏了 刚开封笔头整个缩了进去根本没办法用,其他,0
TRAIN_19,图书音像,一直想买这个 卓越的价钱还是挺便宜的书本印刷也不错,价格,1
TRAIN_19,图书音像,一直想买这个 卓越的价钱还是挺便宜的书本印刷也不错,印刷,1
TRAIN_20,图书音像,真品 是真品 跟在海关买的一样 就是今年海关自己出的书质量没那么好 跟一般小出版社出的便宜书一样 跟2010版的正版更没得比,价格,1
TRAIN_21,图书音像,新手必备 新手必备反正我按着上面的配方做了蛋糕跟饼干蛋糕虽然没有100%的成功有点回缩跟开裂不过口感不错松软这本书还是不错的家里没有糖粉就告诉你用料理机把糖打碎就成了不用特意买多一样材料非常适合新手。,其他,1
TRAIN_22,图书音像,通信常识较为全面通俗易懂不错的 通信常识较为全面通俗易懂不错的 里面讲了好多通信的技术和实例国内外的都有还不错,其他,1
TRAIN_23,图书音像,印刷质量很好 DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,质量,1
TRAIN_23,图书音像,印刷质量很好 DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,服务,1
TRAIN_23,图书音像,印刷质量很好 DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,包装,1
TRAIN_23,图书音像,印刷质量很好 DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,印刷,1
TRAIN_23,图书音像,印刷质量很好 DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,插图,1
