review_id,product_id,category,aspect,opinion,polarity,tag
TRAIN_0,PRODUCT_60357,美妆个护,正品,正品放心,positive,正品放心
TRAIN_1,PRODUCT_354315,图书音像,正品,正品放心,positive,正品放心
TRAIN_6,PRODUCT_114046,图书音像,包装,包装好,positive,包装好
TRAIN_15,PRODUCT_144600,图书音像,正品,正品放心,positive,正品放心
TRAIN_18,PRODUCT_242133,美妆个护,耐用,容易坏,negative,容易坏
TRAIN_20,PRODUCT_57135,图书音像,正品,正品放心,positive,正品放心
TRAIN_23,PRODUCT_482563,图书音像,质量,质量好,positive,质量好
TRAIN_29,PRODUCT_137686,电脑/办公,质量,质量好,positive,质量好
TRAIN_35,PRODUCT_181521,美妆个护,包装,包装差,negative,包装差
TRAIN_35,PRODUCT_181521,美妆个护,正品,正品放心,positive,正品放心
TRAIN_35,PRODUCT_181521,美妆个护,味道,味道不错,positive,味道不错
TRAIN_43,PRODUCT_318740,美妆个护,正品,正品放心,positive,正品放心
TRAIN_55,PRODUCT_417315,家用电器,耐用,很耐用,positive,很耐用
TRAIN_76,PRODUCT_431202,图书音像,内容,内容一般,negative,内容一般
TRAIN_77,PRODUCT_291114,家用电器,价格,性价比高,positive,性价比高
TRAIN_85,PRODUCT_219930,图书音像,质量,质量好,positive,质量好
TRAIN_92,PRODUCT_189784,图书音像,质量,质量好,positive,质量好
TRAIN_95,PRODUCT_7627,电脑/办公,价格,性价比高,positive,性价比高
TRAIN_97,PRODUCT_464318,图书音像,质量,质量好,positive,质量好
TRAIN_102,PRODUCT_315386,手机/数码,价格,性价比高,positive,性价比高
TRAIN_102,PRODUCT_315386,手机/数码,正品,正品放心,positive,正品放心
TRAIN_105,PRODUCT_248304,图书音像,质量,质量差,negative,质量差
TRAIN_107,PRODUCT_78969,图书音像,内容,内容不错,positive,内容不错
TRAIN_117,PRODUCT_176991,图书音像,包装,包装差,negative,包装差
TRAIN_118,PRODUCT_45422,图书音像,内容,内容不错,positive,内容不错
TRAIN_122,PRODUCT_138124,图书音像,物流,发货快,positive,发货快
TRAIN_133,PRODUCT_38558,家用电器,耐用,很耐用,positive,很耐用
TRAIN_137,PRODUCT_312081,其他,质量,质量好,positive,质量好
TRAIN_139,PRODUCT_78811,电脑/办公,耐用,很耐用,positive,很耐用
TRAIN_139,PRODUCT_78811,电脑/办公,续航,续航差,negative,续航差
TRAIN_145,PRODUCT_178539,图书音像,质量,质量好,positive,质量好
TRAIN_148,PRODUCT_244852,图书音像,包装,包装好,positive,包装好
TRAIN_153,PRODUCT_24916,家居生活,物流,发货快,positive,发货快
TRAIN_164,PRODUCT_167289,电脑/办公,耐用,容易坏,negative,容易坏
TRAIN_166,PRODUCT_464812,手机/数码,质量,质量好,positive,质量好
TRAIN_166,PRODUCT_464812,手机/数码,正品,正品放心,positive,正品放心
TRAIN_172,PRODUCT_60073,图书音像,内容,内容不错,positive,内容不错
TRAIN_181,PRODUCT_236186,电脑/办公,价格,性价比高,positive,性价比高
TRAIN_184,PRODUCT_451048,图书音像,正品,正品放心,positive,正品放心
TRAIN_188,PRODUCT_406187,图书音像,内容,内容不错,positive,内容不错
TRAIN_198,PRODUCT_21628,图书音像,质量,质量好,positive,质量好
TRAIN_202,PRODUCT_265749,图书音像,质量,质量好,positive,质量好
TRAIN_203,PRODUCT_314607,手机/数码,价格,性价比高,positive,性价比高
TRAIN_209,PRODUCT_130405,电脑/办公,正品,正品放心,positive,正品放心
TRAIN_210,PRODUCT_467378,图书音像,包装,包装差,negative,包装差
TRAIN_210,PRODUCT_467378,图书音像,内容,内容不错,positive,内容不错
TRAIN_216,PRODUCT_236146,图书音像,包装,包装好,positive,包装好
TRAIN_218,PRODUCT_507007,图书音像,内容,内容不错,positive,内容不错
TRAIN_219,PRODUCT_387334,图书音像,价格,性价比高,positive,性价比高
TRAIN_222,PRODUCT_375700,电脑/办公,质量,质量差,negative,质量差
TRAIN_222,PRODUCT_375700,电脑/办公,推荐,不推荐,negative,不推荐
TRAIN_229,PRODUCT_440311,美妆个护,味道,味道不错,positive,味道不错
TRAIN_231,PRODUCT_390509,图书音像,质量,质量好,positive,质量好
TRAIN_234,PRODUCT_43180,图书音像,推荐,会回购,positive,会回购
TRAIN_236,PRODUCT_323887,图书音像,质量,质量好,positive,质量好
TRAIN_236,PRODUCT_323887,图书音像,价格,价格贵,negative,价格贵
TRAIN_238,PRODUCT_279241,手机/数码,包装,包装好,positive,包装好
TRAIN_243,PRODUCT_200502,图书音像,包装,包装差,negative,包装差
TRAIN_247,PRODUCT_421357,图书音像,质量,质量差,negative,质量差
TRAIN_251,PRODUCT_305813,图书音像,正品,正品放心,positive,正品放心
TRAIN_259,PRODUCT_480053,图书音像,正品,正品放心,positive,正品放心
TRAIN_262,PRODUCT_61522,家具/家装/建材,质量,质量差,negative,质量差
TRAIN_262,PRODUCT_61522,家具/家装/建材,耐用,容易坏,negative,容易坏
TRAIN_263,PRODUCT_266664,图书音像,外观,外观一般,negative,外观一般
TRAIN_264,PRODUCT_278420,美妆个护,正品,正品放心,positive,正品放心
TRAIN_265,PRODUCT_93768,图书音像,正品,正品放心,positive,正品放心
TRAIN_269,PRODUCT_221657,其他,质量,质量好,positive,质量好
TRAIN_273,PRODUCT_48252,图书音像,正品,正品放心,positive,正品放心
TRAIN_274,PRODUCT_436584,图书音像,包装,包装好,positive,包装好
TRAIN_275,PRODUCT_100023,图书音像,内容,内容不错,positive,内容不错
TRAIN_291,PRODUCT_13376,图书音像,价格,性价比高,positive,性价比高
TRAIN_297,PRODUCT_357397,图书音像,价格,性价比高,positive,性价比高
TRAIN_327,PRODUCT_383137,图书音像,耐用,容易坏,negative,容易坏
TRAIN_328,PRODUCT_204409,手机/数码,质量,质量差,negative,质量差
TRAIN_343,PRODUCT_140870,图书音像,包装,包装好,positive,包装好
TRAIN_349,PRODUCT_168090,美妆个护,质量,质量差,negative,质量差
TRAIN_355,PRODUCT_83322,图书音像,正品,疑似假货,negative,疑似假货
TRAIN_364,PRODUCT_117408,母婴/玩具,质量,质量好,positive,质量好
TRAIN_367,PRODUCT_232108,手机/数码,正品,正品放心,positive,正品放心
TRAIN_369,PRODUCT_337036,图书音像,外观,外观一般,negative,外观一般
TRAIN_375,PRODUCT_171249,图书音像,内容,内容一般,negative,内容一般
TRAIN_391,PRODUCT_416937,家具/家装/建材,质量,质量好,positive,质量好
TRAIN_392,PRODUCT_244139,电脑/办公,质量,质量好,positive,质量好
TRAIN_392,PRODUCT_244139,电脑/办公,包装,包装好,positive,包装好
TRAIN_393,PRODUCT_272440,电脑/办公,正品,正品放心,positive,正品放心
TRAIN_395,PRODUCT_350208,电脑/办公,质量,质量好,positive,质量好
