product_id,category,tag,polarity,count,ratio
PRODUCT_100007,图书音像,性价比高,positive,1,0.5
PRODUCT_100015,图书音像,正品放心,positive,1,1.0
PRODUCT_100017,图书音像,外观好看,positive,1,0.5
PRODUCT_100017,图书音像,性价比高,positive,1,0.5
PRODUCT_100023,图书音像,内容不错,positive,1,0.125
PRODUCT_100023,图书音像,正品放心,positive,1,0.125
PRODUCT_100023,图书音像,物流慢,negative,1,0.125
PRODUCT_100028,图书音像,内容一般,negative,1,1.0
PRODUCT_100075,图书音像,质量好,positive,1,1.0
PRODUCT_100086,图书音像,外观好看,positive,1,1.0
PRODUCT_100159,图书音像,质量好,positive,1,0.3333333333333333
PRODUCT_100195,图书音像,正品放心,positive,1,1.0
PRODUCT_10021,图书音像,内容不错,positive,1,1.0
PRODUCT_100222,家居生活,容易坏,negative,1,0.1
PRODUCT_100244,图书音像,价格贵,negative,1,0.14285714285714285
PRODUCT_100244,图书音像,内容不错,positive,1,0.14285714285714285
PRODUCT_100258,图书音像,外观好看,positive,1,1.0
PRODUCT_100327,其他,正品放心,positive,1,0.3333333333333333
PRODUCT_100375,家用电器,味道不错,positive,1,0.3333333333333333
PRODUCT_100462,电脑/办公,价格贵,negative,1,0.3333333333333333
PRODUCT_100462,电脑/办公,尺码不准,negative,1,0.3333333333333333
PRODUCT_100684,美妆个护,味道不错,positive,1,1.0
PRODUCT_100724,图书音像,包装好,positive,1,0.5
PRODUCT_100724,图书音像,包装差,negative,1,0.5
PRODUCT_100772,图书音像,外观好看,positive,2,0.2222222222222222
PRODUCT_100789,电脑/办公,不推荐,negative,1,0.058823529411764705
PRODUCT_100789,电脑/办公,容易坏,negative,1,0.058823529411764705
PRODUCT_100789,电脑/办公,很耐用,positive,1,0.058823529411764705
PRODUCT_100789,电脑/办公,性价比高,positive,1,0.058823529411764705
PRODUCT_100789,电脑/办公,正品放心,positive,1,0.058823529411764705
PRODUCT_100789,电脑/办公,质量好,positive,1,0.058823529411764705
PRODUCT_100824,图书音像,外观好看,positive,1,0.5
PRODUCT_100844,图书音像,会回购,positive,1,1.0
PRODUCT_100891,运动户外,正品放心,positive,1,1.0
PRODUCT_100914,手机/数码,不推荐,negative,1,0.3333333333333333
PRODUCT_100914,手机/数码,正品放心,positive,1,0.3333333333333333
PRODUCT_100914,手机/数码,质量差,negative,1,0.3333333333333333
PRODUCT_100921,图书音像,正品放心,positive,1,0.5
PRODUCT_100921,图书音像,质量好,positive,1,0.5
PRODUCT_10094,家用电器,外观好看,positive,1,0.3333333333333333
PRODUCT_10094,家用电器,性价比高,positive,1,0.3333333333333333
PRODUCT_100941,图书音像,内容不错,positive,1,1.0
PRODUCT_100953,其他,外观一般,negative,1,1.0
PRODUCT_100953,其他,外观好看,positive,1,1.0
PRODUCT_101005,家用电器,不推荐,negative,1,0.3333333333333333
PRODUCT_101022,电脑/办公,会回购,positive,1,0.5
PRODUCT_101022,电脑/办公,性价比高,positive,1,0.5
PRODUCT_101022,电脑/办公,疑似假货,negative,1,0.5
PRODUCT_101022,电脑/办公,质量好,positive,1,0.5
PRODUCT_101040,图书音像,性价比高,positive,1,1.0
PRODUCT_101136,图书音像,包装差,negative,1,1.0
PRODUCT_101143,图书音像,包装好,positive,1,1.0
PRODUCT_101147,鞋类箱包,性价比高,positive,1,1.0
PRODUCT_101236,图书音像,不推荐,negative,1,0.5
PRODUCT_101237,图书音像,正品放心,positive,2,1.0
PRODUCT_10127,图书音像,外观好看,positive,1,1.0
PRODUCT_101271,图书音像,正品放心,positive,1,1.0
PRODUCT_101282,母婴/玩具,正品放心,positive,1,1.0
PRODUCT_101337,图书音像,味道不错,positive,1,1.0
PRODUCT_101348,图书音像,正品放心,positive,1,1.0
PRODUCT_101362,运动户外,质量好,positive,1,1.0
PRODUCT_101363,图书音像,价格贵,negative,1,1.0
PRODUCT_101502,电脑/办公,外观好看,positive,1,1.0
PRODUCT_101504,图书音像,不推荐,negative,1,0.5
PRODUCT_10154,图书音像,不推荐,negative,1,1.0
PRODUCT_101551,食品/保健,发货快,positive,1,1.0
PRODUCT_101559,图书音像,正品放心,positive,1,0.3333333333333333
PRODUCT_101599,图书音像,正品放心,positive,1,1.0
PRODUCT_101671,图书音像,外观好看,positive,1,1.0
PRODUCT_101757,其他,质量差,negative,1,0.5
PRODUCT_101798,美妆个护,正品放心,positive,1,0.5
PRODUCT_101835,图书音像,正品放心,positive,1,0.3333333333333333
PRODUCT_101891,图书音像,包装差,negative,1,1.0
PRODUCT_101911,图书音像,正品放心,positive,1,0.5
PRODUCT_101912,图书音像,性价比高,positive,1,1.0
PRODUCT_101933,图书音像,外观好看,positive,1,0.5
PRODUCT_101940,图书音像,质量好,positive,1,0.25
PRODUCT_101997,图书音像,质量好,positive,1,1.0
PRODUCT_101999,图书音像,质量好,positive,1,1.0
PRODUCT_102008,手机/数码,很耐用,positive,1,1.0
PRODUCT_102015,家居生活,不推荐,negative,1,1.0
PRODUCT_102015,家居生活,质量差,negative,1,1.0
PRODUCT_102031,电脑/办公,会回购,positive,1,0.125
PRODUCT_102031,电脑/办公,外观好看,positive,1,0.125
PRODUCT_102031,电脑/办公,正品放心,positive,1,0.125
PRODUCT_102031,电脑/办公,质量好,positive,1,0.125
PRODUCT_102076,手机/数码,正品放心,positive,1,0.16666666666666666
PRODUCT_102076,手机/数码,质量好,positive,1,0.16666666666666666
PRODUCT_102081,家具/家装/建材,外观好看,positive,2,0.2222222222222222
PRODUCT_102081,家具/家装/建材,很耐用,positive,2,0.2222222222222222
PRODUCT_102081,家具/家装/建材,容易坏,negative,1,0.1111111111111111
PRODUCT_102081,家具/家装/建材,性价比高,positive,1,0.1111111111111111
PRODUCT_102100,图书音像,内容不错,positive,1,1.0
PRODUCT_102109,图书音像,外观好看,positive,1,1.0
PRODUCT_102109,图书音像,正品放心,positive,1,1.0
PRODUCT_102168,图书音像,正品放心,positive,1,1.0
PRODUCT_102190,图书音像,内容一般,negative,1,0.16666666666666666
PRODUCT_102190,图书音像,性价比高,positive,1,0.16666666666666666
PRODUCT_102203,家用电器,不推荐,negative,1,1.0
PRODUCT_102203,家用电器,内容一般,negative,1,1.0
PRODUCT_102295,图书音像,会回购,positive,1,1.0
PRODUCT_102323,美妆个护,味道不错,positive,1,0.25
PRODUCT_102378,家居生活,质量差,negative,1,1.0
PRODUCT_1024,图书音像,正品放心,positive,1,0.5
PRODUCT_102452,图书音像,内容不错,positive,1,1.0
PRODUCT_102455,图书音像,外观好看,positive,1,1.0
PRODUCT_10247,家具/家装/建材,性价比高,positive,1,1.0
PRODUCT_102474,图书音像,质量好,positive,1,1.0
PRODUCT_102475,图书音像,疑似假货,negative,1,0.5
PRODUCT_102487,图书音像,正品放心,positive,1,1.0
PRODUCT_102492,电脑/办公,会回购,positive,1,0.3333333333333333
PRODUCT_102492,电脑/办公,性价比高,positive,1,0.3333333333333333
PRODUCT_102492,电脑/办公,质量好,positive,1,0.3333333333333333
PRODUCT_102506,电脑/办公,容易坏,negative,1,1.0
PRODUCT_102570,电脑/办公,包装好,positive,1,0.25
PRODUCT_102570,电脑/办公,正品放心,positive,1,0.25
PRODUCT_102616,图书音像,正品放心,positive,1,0.3333333333333333
PRODUCT_10266,图书音像,内容不错,positive,4,0.06557377049180328
PRODUCT_10266,图书音像,会回购,positive,3,0.04918032786885246
PRODUCT_10266,图书音像,外观好看,positive,3,0.04918032786885246
PRODUCT_10266,图书音像,质量好,positive,3,0.04918032786885246
PRODUCT_10266,图书音像,不推荐,negative,1,0.01639344262295082
PRODUCT_10266,图书音像,发货快,positive,1,0.01639344262295082
PRODUCT_10266,图书音像,很新鲜,positive,1,0.01639344262295082
PRODUCT_10266,图书音像,性价比高,positive,1,0.01639344262295082
PRODUCT_10266,图书音像,正品放心,positive,1,0.01639344262295082
PRODUCT_10266,图书音像,疑似假货,negative,1,0.01639344262295082
PRODUCT_10266,图书音像,质量差,negative,1,0.01639344262295082
PRODUCT_102676,家用电器,外观好看,positive,1,0.3333333333333333
PRODUCT_102676,家用电器,容易坏,negative,1,0.3333333333333333
PRODUCT_10268,手机/数码,性价比高,positive,2,0.3333333333333333
PRODUCT_10268,手机/数码,外观好看,positive,1,0.16666666666666666
PRODUCT_10268,手机/数码,容易坏,negative,1,0.16666666666666666
PRODUCT_102689,图书音像,质量好,positive,1,1.0
PRODUCT_102713,图书音像,会回购,positive,1,1.0
PRODUCT_102774,图书音像,会回购,positive,1,1.0
PRODUCT_102797,鞋类箱包,质量好,positive,1,1.0
PRODUCT_102801,图书音像,会回购,positive,1,1.0
PRODUCT_102837,图书音像,味道不错,positive,2,0.16666666666666666
PRODUCT_102837,图书音像,内容一般,negative,1,0.08333333333333333
PRODUCT_102837,图书音像,外观好看,positive,1,0.08333333333333333
PRODUCT_102837,图书音像,质量好,positive,1,0.08333333333333333
PRODUCT_102851,图书音像,正品放心,positive,1,1.0
PRODUCT_102859,家用电器,外观好看,positive,1,0.3333333333333333
PRODUCT_102859,家用电器,性价比高,positive,1,0.3333333333333333
PRODUCT_102879,图书音像,正品放心,positive,1,1.0
PRODUCT_102950,家居生活,性价比高,positive,1,0.5
PRODUCT_102950,家居生活,正品放心,positive,1,0.5
PRODUCT_102968,家用电器,包装好,positive,1,0.5
PRODUCT_102968,家用电器,容易坏,negative,1,0.5
PRODUCT_102981,家用电器,很耐用,positive,1,0.5
PRODUCT_102981,家用电器,续航差,negative,1,0.5
