数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容
TEST_0,1013654.0,PRODUCT_176056,1382025600,东西不错,"大三元之一 东西看上去不错,包装也都很好,关键是价格比京东便宜很多。 还没试过,回去试一下。 不足是不能开增票。比较遗憾"
TEST_1,99935.0,PRODUCT_130680,1296144000,这么丰富的经历没写出来,"这么丰富的经历没写出来,对于我们以后上哪玩挺有帮助,作为游记一般吧。"
TEST_2,307768.0,PRODUCT_323370,1303142400,很喜欢 支持离歌 支持饶雪漫~~,很喜欢 支持离歌 支持饶雪漫~~
TEST_3,152011.0,PRODUCT_383545,1313510400,"内容空洞,不值得买","内容很空洞,有炫富意味,其它的倒还真没看出什么所以然来。很后悔买了这本书。完全想废纸一样。"
TEST_4,1070630.0,PRODUCT_346185,1272556800,爱自己多一点,"这个书的内容总的来说不错的,书名有点夸张,但看了内容后,发现真的很实实在在的,一点也不夸大。本人特别喜欢后面部分关于鼓舞的内容。一个女人天生长得美人见人爱,而长得不好看的有很多人都自卑,于是总想方设法运用各种化妆品来装饰自己,以此来让别人喜欢自己。看了这个书的内容,很感动,并不是说她的观点如何的好,而是这样的观点出在减肥书上,不漂亮没关系,对自己自信一点,对周围的人更关心一点,你也可以由内而外变得越来越美丽,每天给自己一个小小的肯定,对自己说OK。"
TEST_5,1133263.0,PRODUCT_247806,1336060800,"易懂,好用",程博士写的书易懂好用!
TEST_6,42055.0,PRODUCT_82381,1324742400,火机油,"收到时外包装没问题,但奇怪的是里面瓶身上角有些挤变形了,还好没破,没有泄漏。除去包装外,满意。"
TEST_7,1433.0,PRODUCT_457115,1338134400,不错的书,"不错的书,价格合适,质量还行"
TEST_8,650346.0,PRODUCT_348453,1337097600,翻译它最大,"很喜欢里面的翻译讲解,用四步定位来解决每一个翻译题,屡试屡爽!"
TEST_9,1033284.0,PRODUCT_184929,1358611200,吊丝女自强指南?,是不是看这种书的女人都是每人爱的剩女?恐龙?凭一本书真的就能改变命运吗?
TEST_10,155035.0,PRODUCT_512582,1364486400,还行,"感觉像是一本过去的教科书,书的封面质量很一般。因为是公司需要买,所以无所谓"
TEST_11,648574.0,PRODUCT_20267,1368547200,最满意的一次网购!,"包装很好,日期也很新,到2016年。价格也实惠,特价是买的,很开心,不过还没用,不知道效果咋样,涂开来是没有味道的我很喜欢"
TEST_12,2117.0,PRODUCT_263736,1320249600,"快递很给力,书也不错","印刷排版很精美,内容比较言简意赅,是本不错的小励志,值得读一读"
TEST_13,572968.0,PRODUCT_462423,1282665600,非常好,"非常满意,看到这样的好书"
TEST_14,1226714.0,PRODUCT_311882,1300636800,还好,"还好,就是没想象的那么多,解析比较详细"
TEST_15,75472.0,PRODUCT_81456,1382544000,"不错的书,经典",书的内容和纸张质量都没得说
TEST_16,89091.0,PRODUCT_237923,1323705600,鼠标一般般,"鼠标刚到了两天,一般般。觉得确实宽了些有些不适应,中间的滚轮容易被按下去,没有图片看上去那样有质感,其他的暂时没发现什么问题。不过这个价钱也是算值了。"
TEST_17,194708.0,PRODUCT_495102,1365609600,"考过了,哈哈",六级好好准备就会过的。
TEST_18,38757.0,PRODUCT_445933,1324569600,通俗易懂,"书中讲到了很多概念性的东西,但是老雕并没有做过深的讲解。"
TEST_19,1249974.0,PRODUCT_328938,1244908800,"品质上乘,颜色遗憾。","收音机很快送来了。 在订单中注明了希望是黑色的,本以为如果不是黑色,至少也应该是灰色的吧。打开包装时就想着千万别是银白色的,然而打开一看,天哪!就是银白的。怎么总是这样?越是不想要的,越是要得到! 买PL600就是为了收听短波的英语广播,也许是我没有选到合适的频率,折腾了一个晚上,一个信号清晰的短波台也没有收到。怀着郁闷的心情只好耐心地期待第二天的清晨。第二天早早地起来,惴惴地打开收音机,小心地输入频率,突然声音象清澈的流水一样流畅地淌了出来。声音清晰,音质优美。这才是我想要的短波收音机!真的不同凡响! 到了这时也不再计较收音机的颜色了,因为有了好的品质,甚至觉得银白色的也蛮好。 谢谢卓越!尽管想起收音机的颜色还是有点遗憾,为什么要随机呢?"
TEST_20,892.0,PRODUCT_207816,1304092800,每一次相遇都是奇迹!推荐,"写得很美很真实,很羡慕作者能游历各地,观赏美景,寻找自己心中的宁静。 强烈推荐这本书,在现代的繁忙中找到旅游的惬意和宁静。 书的质量很好,值得珍藏。"
TEST_21,5442.0,PRODUCT_88730,1279555200,经典,"现代人写的前言特搞笑。毛泽东,马克思,受不了。"
TEST_22,535170.0,PRODUCT_511127,1318262400,喜欢,"从这本书可以了解到另一层面的社会热点,真的就好像是一问一世界,每一个问题都会把你带入一个不一样的视角去了解世界。刚参加工作每天感觉很累,但是建议大家最好坚持每个月最少看一本书,保持应有的思想高度。"
TEST_23,1311203.0,PRODUCT_421436,1331481600,不太好,"书没打折,不值!配送慢!送不到就别显示送达时间!书封面有折痕,不太满意!"
TEST_24,355382.0,PRODUCT_279945,1374508800,好的。,"印刷质量好,满意!!"
TEST_25,11532.0,PRODUCT_50605,1331222400,不错的选择,书很不错  发货特别快  强力推荐卓越亚马逊
TEST_26,726231.0,PRODUCT_341915,1348761600,满意,"因为我之前一直用手提电脑,而这个键盘打字的手感就跟手提差不多,所以我不会觉得有什么不适应的,所以我建议你如果使用关手提的就可以尝试下这款键盘咯,真的还不错~~~哈哈......"
TEST_27,443899.0,PRODUCT_151508,1383926400,纸张好,"内容好,包装好,送货快"
TEST_28,716359.0,PRODUCT_44501,1365350400,有道理,"她的文字会让你自然地联系到自己在生活中所遇到过的情况,可能会恍然大悟,当时自己这么做或者那么做原来是因为什么什么……算是一种心灵的契合吧,可以悠闲时来品味。"
TEST_29,10167.0,PRODUCT_390407,1368892800,"真心贵,画得也不太好","非常非常贵,而且看起来就像是别人看过的旧书,而且画得也不好,跟我在网上看的不一样,而且第一页中三只小熊是共同坐在一个布椅子里的,第二页时三只小熊就是一人一把靠背椅了,实在不明白。"
TEST_30,4597.0,PRODUCT_124001,1322668800,很不错,很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错
TEST_31,78218.0,PRODUCT_325599,1351008000,还可以,"煮过一顿饭,觉得挺方便的,口感也不错。之前没用过电压力锅,它工作时有不大不小的哨子似的声音,会从限压阀冒些水泡,应该是正常情况吧。 两个锅,都没看到苏泊尔的logo,其中一个挺笨重的,囧,如果有logo会更安心。"
TEST_32,133101.0,PRODUCT_55244,1359475200,书的包装好。,适合成人看的一本书。
TEST_33,25316.0,PRODUCT_191245,1378656000,马丁,"看了推荐买的,好不错的~~~"
TEST_34,360496.0,PRODUCT_374835,1260979200,货到了,"卓越很准时,货如期送到,鼠标非常可爱,我好喜欢,用起来质感非常好,而且精准。"
TEST_35,61965.0,PRODUCT_48358,1364400000,生涩,"前几章能用上,后面的好像太专业。"
TEST_36,11573.0,PRODUCT_433663,1353254400,经典归经典,"都这么大了跑来看这些名著着实有点不好意思,不过确实是先看了BBC那六集的短剧然后兴起买来书重温。但有点绝望的是形象太根深蒂固并且本来剧集就很尊重原著以至于看书时一直被剧透=  =。于是索性看了一些就放下了 .."
TEST_37,127703.0,PRODUCT_368994,1193241600,价格有点高,"太贵了,买了后才发现外面书店打七五折,内容都一样,不过这本是上海古籍出版的所以勉强得到点安慰"
TEST_38,1239949.0,PRODUCT_321414,1386604800,喜欢的杯子。。,"很漂亮的被子,唯一遗憾的是没有过滤的那个东西,喝茶容易把茶叶喝进去,,,"
TEST_39,2301.0,PRODUCT_238475,1373385600,挺实用的,"印刷不错,挺实用的。"
TEST_40,7774.0,PRODUCT_385726,1343232000,一般+,"这本书在编排上很好,很适合初学者。但是说实话,这本书的翻译并不是很令人满意的,许多地方读起来比较别扭。不过要是买这本书的汉译版还是郭镇之的比较好,他还是比较权威的。用老师的话说:瘸子里面选将军。建议有条件的同学读原版。"
TEST_41,950642.0,PRODUCT_359883,1341158400,还行,"书比预想的要轻,纸张的缘故吧,翻了下貌似是通过一件事例来阐述一些道理,应该还行吧"
TEST_42,5828.0,PRODUCT_26326,1329753600,满意,"书不错,开始跟踪不到包裹,还担心了,最后包裹准时到达了!"
TEST_43,81573.0,PRODUCT_38117,1365609600,小孩很不錯哦,"還不錯,我小孩很喜歡"
