数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容,评分
TRAIN_0,300212.0,PRODUCT_60357,1282579200,刚到!!!!!!!!,"刚刚收到,2天我晕,一般快递最快到我们这要3天呢,赞个!!!   包装台简单了,说明书看不懂。 瓶子半透明。   问了官方,说卓越也是他们的合作伙伴,正品放心。",4.0
TRAIN_1,213838.0,PRODUCT_354315,1305561600,很好的一本书,不过这本书没有赠送什么代金券。体现不出以前的正版图书送网站学习代金券的特点。,5.0
TRAIN_2,1045492.0,PRODUCT_192005,1357747200,二手手机,"很负责任的说一句,亚马逊给我发过来的手机绝对是二手的!!",1.0
TRAIN_3,587784.0,PRODUCT_1531,1305129600,送的光盘不行,"这本书内容很好,就是送的光盘不行。这次重新订购了一套,期望发过来的光盘能用",4.0
TRAIN_4,1244067.0,PRODUCT_324528,1285689600,很实用,"很实用的一本书,非常喜欢!",5.0
TRAIN_5,3361.0,PRODUCT_4163,1346256000,关于书籍的包装,"书籍本身没有问题,货物的包装实在不敢恭维。不知出于何种考虑,先前的纸盒包装现在换成了塑料袋,拍下的两本精装书拿到手居然卷了边,超级郁闷。以此种方式来降低成本,实在不足取。省下的只是仨瓜俩枣,失去的却是人们的信任。",4.0
TRAIN_6,83841.0,PRODUCT_114046,1341849600,挺好的,"包装很好,内容也不错",4.0
TRAIN_7,174475.0,PRODUCT_100236,1226505600,便宜点最好了,希望能尽快便宜一些!,4.0
TRAIN_8,395880.0,PRODUCT_184161,1340812800,物流 包装 一如既往,对于自主游玩川渝还是很有帮助的,5.0
TRAIN_9,339956.0,PRODUCT_101599,1365609600,需要细细品味和琢磨的一本书,"教育就是解放心灵,获得自由",5.0
TRAIN_10,1193630.0,PRODUCT_444098,1316188800,非常不错,"从基础入手,浅显易懂!",5.0
TRAIN_11,210642.0,PRODUCT_224662,1302537600,不好。,"薄薄的一本,什么都没有,看到实物绝对不买。",1.0
TRAIN_12,131272.0,PRODUCT_166945,1316707200,这本是配套练习。,书应该和配套教材搭起来卖就好了。配套的光盘在教材的那本书里。不过书本身的质量很不错。,3.0
TRAIN_13,644977.0,PRODUCT_91193,1283270400,"许飞的声音——26度,超舒服!","许飞的声音——26度,超舒服! 虽然只有五首歌,但首首是精品。 超五星EP",5.0
TRAIN_14,593622.0,PRODUCT_235518,1371571200,挺好的,"把它送给外甥女,希望喜欢",5.0
TRAIN_15,958145.0,PRODUCT_144600,1192550400,不行的~,"都很想退货了, 书的内容蛮无趣不如盗墓笔不说, 错字看的人头疼,不可能是正版吧~记",2.0
TRAIN_16,200326.0,PRODUCT_428704,1303056000,书有瑕疵,"书还不错,唯一的缺陷就是书页胶粘的不好,掉页情况严重。希望以后可以改进。",3.0
TRAIN_17,837090.0,PRODUCT_406952,1326470400,东西不错,"印刷不错,只是原来以为里面会附上英文版的。",5.0
TRAIN_18,214993.0,PRODUCT_242133,1373212800,笔头坏了!!,"刚开封,笔头整个缩了进去,根本没办法用!!",1.0
TRAIN_19,18039.0,PRODUCT_36812,1273507200,一直想买这个,"卓越的价钱还是挺便宜的,书本印刷也不错",4.0
TRAIN_20,238893.0,PRODUCT_57135,1346601600,真品,是真品 跟在海关买的一样 就是今年海关自己出的书质量没那么好 跟一般小出版社出的便宜书一样 跟2010版的正版更没得比,4.0
TRAIN_21,100688.0,PRODUCT_36927,1372953600,新手必备,"新手必备,反正我按着上面的配方,做了蛋糕跟饼干,蛋糕虽然没有100%的成功,有点回缩跟开裂,不过口感不错,松软~这本书还是不错的,家里没有糖粉,就告诉你用料理机把糖打碎就成了,不用特意买多一样材料~非常适合新手。",5.0
TRAIN_22,309405.0,PRODUCT_325136,1315843200,"通信常识较为全面,通俗易懂,不错的","通信常识较为全面,通俗易懂,不错的 里面讲了好多通信的技术和实例,国内外的都有,还不错",4.0
TRAIN_23,207129.0,PRODUCT_482563,1322668800,印刷质量很好!,"DK系列的书以及买了一本百科,比较的写实。对于年龄较小的孩子来说,适合和大人一起看。图片都不错,印刷都很精美。将来孩子会不会喜欢呢?会的吧!嘻嘻。。。卓越的服务不错,虽然有时不尽如意,但是,应该是很努力了,谢谢!会继续支持!",5.0
TRAIN_24,33186.0,PRODUCT_185565,1356364800,这书不会是盗版的吧?,"这书不会是盗版的吧?毛边极多,里面好多页都是连在一起的,感觉和盗版书似的,拍了照片不知道怎么上传上来。送书的速度倒还挺快!",3.0
TRAIN_25,447001.0,PRODUCT_514596,1378915200,不错,"一直喜欢韦尔奇的书,这本闲时看看,不错的",5.0
TRAIN_26,24720.0,PRODUCT_335641,1377705600,"孩子十分爱看,很好的一本书","孩子十分爱看,很好的一本书",5.0
TRAIN_27,143035.0,PRODUCT_28557,1385913600,还好,"到货很快,一天就到了。保温效果还可以,就是刚拍到脸上时有点粘稠。",4.0
TRAIN_28,215773.0,PRODUCT_463671,1185465600,好,"这戏很有吸引力,故事真实,内容很悬.加上一批好演员,真的无限可击",5.0
TRAIN_29,139750.0,PRODUCT_137686,1368892800,不错,"产品质量挺好,会向别人推荐",5.0
TRAIN_30,83282.0,PRODUCT_502421,1318003200,喜欢,"刀刀的笔记本,很不错哦~~",5.0
TRAIN_31,261044.0,PRODUCT_399920,1327507200,好,送给姐姐的 姐姐很喜欢 包装很精美,4.0
TRAIN_32,555674.0,PRODUCT_398904,1206979200,期待,超级期待.....,5.0
TRAIN_33,206416.0,PRODUCT_129903,1364054400,还可以,"老师推荐的,但书比我想象的薄",3.0
TRAIN_34,114160.0,PRODUCT_374063,1299340800,好看,一直喜欢看哈利波特 情节紧凑 而且还可以提高英语。~\(≧▽≦)/~,5.0
TRAIN_35,568370.0,PRODUCT_181521,1323619200,"是正品,信赖卓越","和旅游时香港专柜买来的一样,是正品。从大学起一直都用卓越,可能是我运气好从来没遇到过包装破损货物漏洒现象,相信卓越多年经营建立起来的信誉。关键是比专柜便宜!!",5.0
TRAIN_36,7163.0,PRODUCT_239076,1380297600,官方教材,"对考试很有帮助,不过想要考好计算机二级,就得再另外买一本有相应操作题的习题书了。",4.0
TRAIN_37,20810.0,PRODUCT_90003,1324483200,还可以,"内容我们都知道,没有什么突出是本一般的书",3.0
TRAIN_38,1320587.0,PRODUCT_384066,1341590400,神作啊,"神作再现,期待第三部!",5.0
TRAIN_39,69237.0,PRODUCT_490031,1297612800,不错,"给爸爸买的,还没用呢,不过在本地商场里看到同款的了要299呢,所以感觉便宜了好多啊!",4.0
