评论内容_clean,tokens_jieba,text_clean_jieba,tokens_char,text_clean_char,类别,attributes
希望能尽快便宜一些,"[""希望"", ""尽快"", ""便宜""]",希望 尽快 便宜,"[""希"", ""快"", ""便"", ""宜"", ""些""]",希 快 便 宜 些,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
卓越的价钱还是挺便宜的书本印刷也不错,"[""卓越"", ""价钱"", ""挺"", ""便宜"", ""书本"", ""印刷"", ""不错""]",卓越 价钱 挺 便宜 书本 印刷 不错,"[""卓"", ""越"", ""价"", ""钱"", ""还"", ""挺"", ""便"", ""宜"", ""书"", ""印"", ""刷"", ""不"", ""错""]",卓 越 价 钱 还 挺 便 宜 书 印 刷 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
是真品 跟在海关买的一样 就是今年海关自己出的书质量没那么好 跟一般小出版社出的便宜书一样 跟2010版的正版更没得比,"[""真品"", ""海关"", ""买"", ""今年"", ""海关"", ""出"", ""书"", ""质量"", ""没"", ""好"", ""小"", ""出版社"", ""出"", ""便宜"", ""书"", ""2010"", ""版"", ""正版"", ""更"", ""没得""]",真品 海关 买 今年 海关 出 书 质量 没 好 小 出版社 出 便宜 书 2010 版 正版 更 没得,"[""真"", ""品"", ""海"", ""关"", ""买"", ""样"", ""今"", ""年"", ""海"", ""关"", ""出"", ""书"", ""质"", ""量"", ""没"", ""好"", ""般"", ""小"", ""出"", ""版"", ""社"", ""出"", ""便"", ""宜"", ""书"", ""样"", ""2010"", ""版"", ""正"", ""版"", ""更"", ""没""]",真 品 海 关 买 样 今 年 海 关 出 书 质 量 没 好 般 小 出 版 社 出 便 宜 书 样 2010 版 正 版 更 没,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
DK系列的书以及买了一本百科比较的写实。对于年龄较小的孩子来说适合和大人一起看。图片都不错印刷都很精美。将来孩子会不会喜欢呢会的吧嘻嘻。。。卓越的服务不错虽然有时不尽如意但是应该是很努力了谢谢会继续支持,"[""DK"", ""系列"", ""书"", ""买"", ""一本"", ""百科"", ""比较"", ""写实"", ""年龄"", ""小"", ""孩子"", ""来说"", ""适合"", ""大人"", ""一起"", ""看"", ""图片"", ""都"", ""不错"", ""印刷"", ""都"", ""很"", ""精美"", ""将来"", ""孩子"", ""会"", ""不会"", ""喜欢"", ""会"", ""嘻嘻"", ""卓越"", ""服务"", ""不错"", ""有时"", ""不尽"", ""如意"", ""应该"", ""很"", ""努力"", ""谢谢"", ""会"", ""继续"", ""支持""]",DK 系列 书 买 一本 百科 比较 写实 年龄 小 孩子 来说 适合 大人 一起 看 图片 都 不错 印刷 都 很 精美 将来 孩子 会 不会 喜欢 会 嘻嘻 卓越 服务 不错 有时 不尽 如意 应该 很 努力 谢谢 会 继续 支持,"[""DK"", ""系"", ""列"", ""书"", ""买"", ""百"", ""科"", ""写"", ""实"", ""年"", ""龄"", ""小"", ""孩"", ""子"", ""说"", ""适"", ""合"", ""大"", ""人"", ""看"", ""图"", ""片"", ""都"", ""不"", ""错"", ""印"", ""刷"", ""都"", ""很"", ""精"", ""美"", ""孩"", ""子"", ""会"", ""不"", ""会"", ""喜"", ""欢"", ""会"", ""卓"", ""越"", ""服"", ""务"", ""不"", ""错"", ""然"", ""时"", ""不"", ""意"", ""应"", ""很"", ""努"", ""力"", ""谢"", ""谢"", ""会"", ""继"", ""续"", ""支"", ""持""]",DK 系 列 书 买 百 科 写 实 年 龄 小 孩 子 说 适 合 大 人 看 图 片 都 不 错 印 刷 都 很 精 美 孩 子 会 不 会 喜 欢 会 卓 越 服 务 不 错 然 时 不 意 应 很 努 力 谢 谢 会 继 续 支 持,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""服务"", ""polarity"": 1}, {""aspect"": ""包装"", ""polarity"": 1}]"
送给姐姐的 姐姐很喜欢 包装很精美,"[""送给"", ""姐姐"", ""姐姐"", ""很"", ""喜欢"", ""包装"", ""很"", ""精美""]",送给 姐姐 姐姐 很 喜欢 包装 很 精美,"[""送"", ""姐"", ""姐"", ""姐"", ""姐"", ""很"", ""喜"", ""欢"", ""包"", ""装"", ""很"", ""精"", ""美""]",送 姐 姐 姐 姐 很 喜 欢 包 装 很 精 美,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
和旅游时香港专柜买来的一样是正品。从大学起一直都用卓越可能是我运气好从来没遇到过包装破损货物漏洒现象相信卓越多年经营建立起来的信誉。关键是比专柜便宜,"[""旅游"", ""时"", ""香港"", ""专柜"", ""买来"", ""正品"", ""大学"", ""都"", ""卓越"", ""可能"", ""运气"", ""好"", ""从来"", ""没"", ""遇到"", ""包装"", ""破损"", ""货物"", ""漏洒"", ""现象"", ""相信"", ""卓越"", ""多年"", ""经营"", ""建立"", ""起来"", ""信誉"", ""关键"", ""专柜"", ""便宜""]",旅游 时 香港 专柜 买来 正品 大学 都 卓越 可能 运气 好 从来 没 遇到 包装 破损 货物 漏洒 现象 相信 卓越 多年 经营 建立 起来 信誉 关键 专柜 便宜,"[""旅"", ""游"", ""时"", ""香"", ""港"", ""专"", ""柜"", ""买"", ""样"", ""正"", ""品"", ""大"", ""学"", ""直"", ""都"", ""卓"", ""越"", ""运"", ""气"", ""好"", ""没"", ""遇"", ""包"", ""装"", ""破"", ""损"", ""货"", ""物"", ""漏"", ""洒"", ""现"", ""象"", ""相"", ""信"", ""卓"", ""越"", ""年"", ""营"", ""建"", ""立"", ""信"", ""誉"", ""关"", ""键"", ""专"", ""柜"", ""便"", ""宜""]",旅 游 时 香 港 专 柜 买 样 正 品 大 学 直 都 卓 越 运 气 好 没 遇 包 装 破 损 货 物 漏 洒 现 象 相 信 卓 越 年 营 建 立 信 誉 关 键 专 柜 便 宜,"[{""类别"": ""美妆个护"", ""类别ID"": 3}]","[{""aspect"": ""价格"", ""polarity"": 1}, {""aspect"": ""包装"", ""polarity"": 0}]"
给爸爸买的还没用呢不过在本地商场里看到同款的了要299呢所以感觉便宜了好多啊,"[""爸爸"", ""买"", ""还"", ""没用"", ""本地"", ""商场"", ""里"", ""看到"", ""同款"", ""299"", ""感觉"", ""便宜"", ""好多""]",爸爸 买 还 没用 本地 商场 里 看到 同款 299 感觉 便宜 好多,"[""爸"", ""爸"", ""买"", ""还"", ""没"", ""不"", ""商"", ""场"", ""里"", ""看"", ""款"", ""299"", ""感"", ""觉"", ""便"", ""宜"", ""好""]",爸 爸 买 还 没 不 商 场 里 看 款 299 感 觉 便 宜 好,"[{""类别"": ""家用电器"", ""类别ID"": 4}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
虽然价格挺实惠但设计得不是很好 调节变焦没有我用的佳能方便变焦环太小了 关闭了数码变焦仍然进行数码变焦只是降到了光学+数码变焦共25X而不是只到光学的12.5X 没有调节场景的快捷键设置很麻烦,"[""价格"", ""挺"", ""实惠"", ""设计"", ""不是"", ""很"", ""好"", ""调节"", ""变焦"", ""没有"", ""我用"", ""佳能"", ""方便"", ""变焦"", ""环"", ""太小"", ""关闭"", ""数码"", ""变焦"", ""仍然"", ""进行"", ""数码"", ""变焦"", ""降到"", ""光学"", ""数码"", ""变焦"", ""共"", ""25X"", ""不是"", ""只到"", ""光学"", ""12.5"", ""X"", ""没有"", ""调节"", ""场景"", ""快捷键"", ""设置"", ""很"", ""麻烦""]",价格 挺 实惠 设计 不是 很 好 调节 变焦 没有 我用 佳能 方便 变焦 环 太小 关闭 数码 变焦 仍然 进行 数码 变焦 降到 光学 数码 变焦 共 25X 不是 只到 光学 12.5 X 没有 调节 场景 快捷键 设置 很 麻烦,"[""然"", ""价"", ""格"", ""挺"", ""实"", ""惠"", ""设"", ""计"", ""不"", ""很"", ""好"", ""调"", ""节"", ""变"", ""焦"", ""没"", ""佳"", ""方"", ""便"", ""变"", ""焦"", ""环"", ""太"", ""小"", ""关"", ""闭"", ""数"", ""码"", ""变"", ""焦"", ""仍"", ""然"", ""进"", ""行"", ""数"", ""码"", ""变"", ""焦"", ""只"", ""降"", ""光"", ""学"", ""数"", ""码"", ""变"", ""焦"", ""共"", ""25"", ""X"", ""不"", ""只"", ""光"", ""学"", ""12"", ""5"", ""X"", ""没"", ""调"", ""节"", ""场"", ""景"", ""快"", ""捷"", ""键"", ""设"", ""置"", ""很"", ""麻"", ""烦""]",然 价 格 挺 实 惠 设 计 不 很 好 调 节 变 焦 没 佳 方 便 变 焦 环 太 小 关 闭 数 码 变 焦 仍 然 进 行 数 码 变 焦 只 降 光 学 数 码 变 焦 共 25 X 不 只 光 学 12 5 X 没 调 节 场 景 快 捷 键 设 置 很 麻 烦,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
收到后很开心不论是包装还是因刷都很漂亮绝对称的上经典。里面的内容更加赞我是立体绣的初学者这本书一看以为很难但是仔细研读下来发现步骤很简单自己尝试了一下发现以能绣个八九不离十所以还是很庆幸被推荐了这本书即使不看也绝对值得收藏。,"[""收到"", ""后"", ""很"", ""开心"", ""不论是"", ""包装"", ""因刷"", ""都"", ""很漂亮"", ""绝对"", ""称"", ""上"", ""经典"", ""里面"", ""内容"", ""更加"", ""赞"", ""立体"", ""绣"", ""初学者"", ""本书"", ""一看"", ""以为"", ""很难"", ""仔细"", ""研读"", ""下来"", ""发现"", ""步骤"", ""很"", ""简单"", ""尝试"", ""一下"", ""发现"", ""以能"", ""绣"", ""八九不离十"", ""很"", ""庆幸"", ""推荐"", ""本书"", ""不看"", ""绝对"", ""值得"", ""收藏""]",收到 后 很 开心 不论是 包装 因刷 都 很漂亮 绝对 称 上 经典 里面 内容 更加 赞 立体 绣 初学者 本书 一看 以为 很难 仔细 研读 下来 发现 步骤 很 简单 尝试 一下 发现 以能 绣 八九不离十 很 庆幸 推荐 本书 不看 绝对 值得 收藏,"[""收"", ""后"", ""很"", ""开"", ""心"", ""不"", ""包"", ""装"", ""还"", ""刷"", ""都"", ""很"", ""漂"", ""亮"", ""绝"", ""称"", ""上"", ""典"", ""里"", ""面"", ""内"", ""容"", ""更"", ""加"", ""赞"", ""立"", ""体"", ""绣"", ""初"", ""学"", ""书"", ""看"", ""很"", ""难"", ""仔"", ""细"", ""研"", ""读"", ""下"", ""发"", ""现"", ""步"", ""骤"", ""很"", ""简"", ""单"", ""尝"", ""试"", ""下"", ""发"", ""现"", ""绣"", ""八"", ""九"", ""不"", ""十"", ""还"", ""很"", ""庆"", ""幸"", ""推"", ""荐"", ""书"", ""使"", ""不"", ""看"", ""绝"", ""值"", ""收"", ""藏""]",收 后 很 开 心 不 包 装 还 刷 都 很 漂 亮 绝 称 上 典 里 面 内 容 更 加 赞 立 体 绣 初 学 书 看 很 难 仔 细 研 读 下 发 现 步 骤 很 简 单 尝 试 下 发 现 绣 八 九 不 十 还 很 庆 幸 推 荐 书 使 不 看 绝 值 收 藏,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
外观沉稳时尚做工精细光线柔和有重量,"[""外观"", ""沉稳"", ""时尚"", ""做工"", ""精细"", ""光线"", ""柔和"", ""重量""]",外观 沉稳 时尚 做工 精细 光线 柔和 重量,"[""外"", ""观"", ""沉"", ""稳"", ""时"", ""尚"", ""做"", ""工"", ""精"", ""细"", ""光"", ""线"", ""柔"", ""重"", ""量""]",外 观 沉 稳 时 尚 做 工 精 细 光 线 柔 重 量,"[{""类别"": ""家具/家装/建材"", ""类别ID"": 8}]","[{""aspect"": ""做工"", ""polarity"": 1}]"
