category_str,评论内容_clean,text_clean_char,attributes,attributes_list,labels,aspects_hit
图书音像,书的质量不错作者的注释也十分的好,书 质 量 不 错 作 注 释 十 分 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,卓越买书还是很不错的书的质量好。送货很快。,卓 越 买 书 还 很 不 错 书 质 量 好 送 货 很 快,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,不错值得细细品味与思考,不 错 值 细 细 品 味 思 考,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
美妆个护,跟乳液一起买的用了之后脸上就起了一些痘痘其实一直挺相信亚马逊的但是这次感觉不太像正品。。。有点失望,乳 液 买 后 脸 上 些 痘 痘 实 直 挺 相 信 亚 马 逊 次 感 觉 不 太 正 品 点 失,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,夸大事实不符合生活.读到一半时几乎就看不下去了.农村人对城市媳妇好不好暂且不说起码面上一定是尊重的.作者所描述的简直就是上个世纪的故事.如果您抱有太大的期望还是算了吧.,夸 大 事 实 不 符 合 生 活 读 半 时 看 不 下 去 农 村 人 城 市 媳 妇 好 不 好 暂 不 说 码 面 上 定 尊 重 作 描 述 简 直 上 世 纪 事 果 抱 太 大 期 还 算,"[{""aspect"": ""描述"", ""polarity"": 0}]","[('描述', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",描述
电脑/办公,没想到亚马逊有卖二手的 比全新便宜40元 货到后发现居然没可选大小的耳机耳套 还好配在耳机上的耳套刚好合适 提醒要买的朋友一定要买前问清楚 耳机外型和音质都不错 很喜欢,没 想 亚 马 逊 卖 二 手 全 新 便 宜 40 元 货 后 发 现 居 然 没 选 大 小 耳 机 耳 套 还 好 配 耳 机 上 耳 套 刚 好 合 适 提 醒 买 朋 友 定 买 前 问 清 楚 耳 机 外 型 音 质 都 不 错 很 喜 欢,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,书的质量一般 不过还可了,书 质 量 般 不 还,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,内容还没看不过书的质量很好秒杀买的很划算,内 容 还 没 看 不 书 质 量 很 好 秒 杀 买 很 划 算,"[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}]","[('质量', 1), ('价格', 1)]","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","质量,价格"
电脑/办公,正品来的价格合适,正 品 价 格 合 适,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,专业实用的一本书价钱便宜配送快捷。,专 业 实 书 价 钱 便 宜 配 送 快 捷,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
家用电器,吸力霸气一下子就干净了包装也很严实送了个小礼物。很贴心,吸 力 霸 气 下 子 干 净 包 装 很 严 实 送 小 礼 物 很 贴 心,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
